,Area_Name,Year,Rape_Cases,Murder_Cases,Auto_Theft,Theft_Cases,Total_Cases
221,Nagaland,2002,17,108,161,529,815
222,Nagaland,2003,14,91,225,437,767
223,Nagaland,2004,18,73,122,281,494
224,Nagaland,2005,17,91,248,492,848
225,Nagaland,2006,23,123,155,511,812
226,Nagaland,2007,13,118,233,576,940
227,Nagaland,2008,19,147,251,563,980
228,Nagaland,2009,22,49,216,770,1057
229,Nagaland,2010,16,47,277,785,1125
230,Odisha,2001,790,1005,1011,10167,12973
231,Odisha,2002,691,1148,1028,9287,12154
232,Odisha,2003,725,1102,1076,9462,12365
233,Odisha,2004,770,1137,1404,10415,13726
234,Odisha,2005,799,1133,1626,11276,14834
235,Odisha,2006,985,1167,1571,11465,15188
236,Odisha,2007,939,1235,1733,12945,16852
237,Odisha,2008,1113,1250,1975,12182,16520
238,Odisha,2009,1023,1266,2521,12250,17060
239,Odisha,2010,1025,1319,2627,12691,17662
240,Puducherry,2001,9,25,284,651,969
241,Puducherry,2002,6,31,258,675,970
242,Puducherry,2003,2,30,295,720,1047
243,Puducherry,2004,4,25,322,730,1081
244,Puducherry,2005,6,19,235,549,809
245,Puducherry,2006,9,30,320,657,1016
246,Puducherry,2007,9,35,498,891,1433
247,Puducherry,2008,8,35,443,813,1299
248,Puducherry,2009,1,39,502,807,1349
249,Puducherry,2010,3,34,384,625,1046
250,Punjab,2001,298,787,1270,5950,8305
251,Punjab,2002,299,772,1345,6038,8454
252,Punjab,2003,380,769,1427,6806,9382
253,Punjab,2004,390,802,1188,5355,7735
254,Punjab,2005,398,744,1190,5700,8032
255,Punjab,2006,442,851,1545,7388,10226
256,Punjab,2007,519,826,2062,9213,12620
257,Punjab,2008,517,815,2160,9642,13134
258,Punjab,2009,511,861,2842,9626,13840
259,Punjab,2010,546,945,2713,9873,14077
260,Rajasthan,2001,1049,1275,4039,25326,31689
261,Rajasthan,2002,1051,1324,4433,22730,29538
262,Rajasthan,2003,1050,1284,5267,23652,31253
263,Rajasthan,2004,1038,1292,6395,24551,33276
264,Rajasthan,2005,993,1246,6429,19690,28358
265,Rajasthan,2006,1085,1238,6977,22623,31923
266,Rajasthan,2007,1238,1359,7933,25019,35549
267,Rajasthan,2008,1355,1320,9496,24813,36984
268,Rajasthan,2009,1519,1417,11783,18178,32897
269,Rajasthan,2010,1571,1421,13109,28152,44253
270,Sikkim,2001,8,19,6,129,162
271,Sikkim,2002,6,13,5,118,142
272,Sikkim,2003,10,16,3,127,156
273,Sikkim,2004,3,18,6,168,195
274,Sikkim,2005,18,9,5,166,198
275,Sikkim,2006,20,21,8,216,265
276,Sikkim,2007,24,9,11,214,258
277,Sikkim,2008,20,9,9,222,260
278,Sikkim,2009,18,20,10,163,211
279,Sikkim,2010,18,17,8,134,177
280,Tamil Nadu,2001,423,1662,4260,24606,30951
